product, shipping
MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,Free Shipping
GIGABYTE AORUS Radeon RX 5700 XT 8G Graphics Card  PCIe 4.0  8GB 256-Bit GDDR6  GV-R57XTAORUS-8GD Video Card,Free Shipping
ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-O6G-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,Free Shipping
EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2281-KR 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support BLACK EDITION GAMING Video Card  Dual HDB Fans & RGB LED,$6.99 Shipping
XFX Radeon RX 5600 XT DirectX 12 RX-56XT6DFD6 6GB 192-Bit GDDR6 PCI Express 4.0 Video Card,$3.99 Shipping
MSI GeForce RTX 2070 DirectX 12 RTX 2070 TRI FROZR 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
GIGABYTE Radeon RX 580 GAMING 8G (rev. 2.0) Graphics Card  PCIe 3.0  8GB 256-Bit GDDR5  GV-RX580GAMING-8GD REV2.0 Video Card,Free Shipping
XFX Radeon RX 5600 XT DirectX 12 RX-56XT6TBD8 6GB 192-Bit GDDR6 PCI Express 4.0 Video Card,Free Shipping
SAPPHIRE PULSE Radeon RX 5700 XT 100416P8GL 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,$3.99 Shipping
EVGA GeForce RTX 2070 SUPER BLACK GAMING  08G-P4-3071-KR  8GB GDDR6,$4.99 Shipping
ASRock Phantom Gaming X Radeon RX Vega 56 DirectX 12 RX VEGA 56 8G 8GB 2048-Bit HBM2 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
EVGA GeForce RTX 2080 Ti XC HYBRID GAMING  11G-P4-2384-KR  11GB GDDR6  HYBRID  RGB LED Logo  Metal Backplate,Free Shipping
